mod_id,name,fabric_file,reason,final_status
accessories,Accessories,accessories-fabric-1.1.0-beta.53%2B1.21.1.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
advancementdisable,AdvancementDisable,advancementdisable-fabric-1.0.1+1.21.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
advancementplaques,Advancement Plaques,AdvancementPlaques-1.21.1-fabric-1.6.8.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
architectury,Architectury,architectury-13.0.8-fabric.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
artifacts,Artifacts,artifacts-fabric-13.2.0.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
athena,Athena,athena-fabric-1.21-4.0.2.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
balm,Balm,balm-fabric-1.21.1-21.0.56.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
betterbeds,Better Beds,betterbeds-fabric-1.4.0.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
betterf1,BetterF1,BetterF1-Fabric-1.1+1.21.7.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
betterf3,BetterF3,BetterF3-11.0.3-Fabric-1.21.1.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
brb,Better Recipe Book,brb-1.10.0-rc5+1.21.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
capture_xp,Cobblemon Capture XP,capturexp-fabric-1.7.3-1.3.0.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
carved_wood,Carved Wood,Carved%20Wood-fabric-1.21.1-1.8.2.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
catchindicator,Catch Indicator,catchindicator-fabric-1.4.1.jar,no final NeoForge equivalent present; needs manual download/check or port,covered_by_current_factormoon
